_id,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,rank,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
696,School of Information Systems (4-year programme) *,Information Systems (Cum Laude and above),Singapore Management University,4685,4200,0.0573088,4650,97.2,5000,4659,4584,2018,100
697,School of Social Sciences (4-year programme) *,Social Sciences,Singapore Management University,3210,3000,0.0573088,3200,74.4,3710,3409,3336,2018,85.6
698,School of Social Sciences (4-year programme) *,Social Sciences (Cum Laude and above),Singapore Management University,3600,3200,0.0573088,3550,78.9,4100,3880,3818,2018,84.2
699,School of Law (4-year programme) *,Law #,Singapore Management University,4500,4050,0.0573088,4500,90.8,5600,4856,4704,2018,92.7
700,School of Law (4-year programme) *,Law (Cum Laude and above) #,Singapore Management University,5513,4500,0.0573088,4750,92.6,6000,5256,4986,2018,94.4
701,School of Business,Bachelor of Accountancy,Singapore University of Social Sciences,3000,2700,0.0573088,2850,97.5,3000,2879,2858,2018,98.7
702,School of Business,Bachelor of Science in Finance,Singapore University of Social Sciences,3400,3200,0.0573088,3400,84,3500,3393,3364,2018,88
703,School of Business,Bachelor of Science in Marketing,Singapore University of Social Sciences,3000,2650,0.0573088,3000,84,3245,3023,2925,2018,94
704,na,Bachelor of Engineering (Engineering Product Development),Singapore University of Technology and Design,3700,3500,0.0573088,3700,86.3,4000,3826,3773,2018,94.7
705,na,Bachelor of Engineering (Information Systems Technology and Design),Singapore University of Technology and Design,4400,4000,0.0573088,4300,93.3,5000,4544,4448,2018,97.3
706,na,Bachelor of Engineering (Engineering Systems and Design),Singapore University of Technology and Design,3800,3600,0.0573088,3800,90,4000,3893,3798,2018,90
707,na,Bachelor of Science (Architecture and Sustainable Design) #,Singapore University of Technology and Design,4000,3600,0.0573088,3900,88.5,4215,3945,3848,2018,95.1
1455,College of Sciences,Mathematical Sciences,Nanyang Technological University,3650,3360,0.0573088,3600,75.9,4000,3744,3661,2018,87.1
1435,College of Engineering,Information Engineering & Media,Nanyang Technological University,3750,3500,0.0573088,3725,89,4140,3800,3724,2018,93.2
1418,College of Business (Nanyang Business School),Accountancy,Nanyang Technological University,3000,3000,0.0573088,3000,92.2,3200,3245,3214,2018,94.6
1419,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,4000,3600,0.0573088,4000,97.7,4633,4456,4391,2018,99.2
1420,College of Business (Nanyang Business School),Business,Nanyang Technological University,3500,3200,0.0573088,3500,84.3,4000,3776,3646,2018,92.6
1421,College of Business (Nanyang Business School),Business and Computing ^,Nanyang Technological University,4575,4200,0.0573088,4450,100,4900,4572,4536,2018,100
1422,College of Engineering,Aerospace Engineering,Nanyang Technological University,3800,3365,0.0573088,3625,88.4,4280,3873,3710,2018,95.3
1423,College of Engineering,Aerospace Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2018,na
1424,College of Engineering,Bioengineering,Nanyang Technological University,3500,3200,0.0573088,3500,66.2,4000,3660,3457,2018,77.5
1425,College of Engineering,Business and Computer Engineering **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2018,na
1426,College of Engineering,Chemical & Biomolecular Engineering,Nanyang Technological University,3600,3300,0.0573088,3500,86,4200,3782,3461,2018,91.6
1427,College of Engineering,Chemical & Biomolecular Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2018,na
1428,College of Engineering,Civil Engineering,Nanyang Technological University,3500,3200,0.0573088,3400,96.5,3816,3597,3521,2018,96.5
1429,College of Engineering,Computer Engineering,Nanyang Technological University,3775,3400,0.0573088,3700,95.8,4200,3865,3749,2018,95.8
1430,College of Engineering,Computer Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2018,na
1431,College of Engineering,Computer Science,Nanyang Technological University,4000,3500,0.0573088,3800,93,4500,4062,3970,2018,94.4
1432,College of Engineering,Electrical & Electronic Engineering,Nanyang Technological University,3600,3323,0.0573088,3500,91,4000,3772,3625,2018,92.7
1433,College of Engineering,Environmental Engineering,Nanyang Technological University,3400,3000,0.0573088,3360,81.6,3500,3485,3388,2018,92.1
1434,College of Engineering,Environmental Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2018,na
1436,College of Engineering,Maritime Studies,Nanyang Technological University,3350,3000,0.0573088,3300,90,3640,3409,3351,2018,93.3
1437,College of Engineering,Materials Engineering,Nanyang Technological University,3500,3200,0.0573088,3400,81.9,4000,3650,3457,2018,86.5
1438,College of Engineering,Mechanical Engineering,Nanyang Technological University,3500,3200,0.0573088,3500,81.1,4000,3653,3448,2018,85.6
1439,"College of Humanities, Arts & Social Sciences","Art, Design & Media",Nanyang Technological University,3000,2600,0.0573088,2800,53.8,3300,2986,2930,2018,85.7
1440,"College of Humanities, Arts & Social Sciences",Chinese,Nanyang Technological University,3500,3000,0.0573088,3150,76.3,3518,3260,3149,2018,86.4
1441,"College of Humanities, Arts & Social Sciences",Communication Studies,Nanyang Technological University,3000,2750,0.0573088,3000,84.2,3500,3166,3085,2018,95
1442,"College of Humanities, Arts & Social Sciences",Economics,Nanyang Technological University,3536,3200,0.0573088,3500,84,3959,3755,3604,2018,90.1
1443,"College of Humanities, Arts & Social Sciences",English,Nanyang Technological University,3000,2600,0.0573088,3000,59.2,3500,3124,3051,2018,81.6
1444,"College of Humanities, Arts & Social Sciences",History,Nanyang Technological University,3500,3260,0.0573088,3500,56.4,4150,3719,3593,2018,74.4
1445,"College of Humanities, Arts & Social Sciences",Linguistics & Multilingual Studies,Nanyang Technological University,3200,2900,0.0573088,3200,45.8,3500,3091,3074,2018,79.2
1446,"College of Humanities, Arts & Social Sciences",Philosophy,Nanyang Technological University,3000,2550,0.0573088,3000,76,3500,3126,3031,2018,80
1447,"College of Humanities, Arts & Social Sciences",Psychology,Nanyang Technological University,3370,3000,0.0573088,3300,78,3684,3355,3316,2018,90.1
1448,"College of Humanities, Arts & Social Sciences",Public Policy and Global Affairs,Nanyang Technological University,3350,3050,0.0573088,3350,71,4018,3619,3501,2018,80.6
1449,"College of Humanities, Arts & Social Sciences",Sociology,Nanyang Technological University,3220,3000,0.0573088,3175,60.4,3841,3374,3275,2018,80.2
1450,College of Sciences,Biological Sciences,Nanyang Technological University,3250,3035,0.0573088,3200,67,3650,3319,3232,2018,80.1
1451,College of Sciences,Biomedical Sciences **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2018,na
1452,College of Sciences,Biomedical Sciences & Chinese Medicine # ^,Nanyang Technological University,3000,2700,0.0573088,3000,81.8,3100,2953,2941,2018,90.9
1453,College of Sciences,Chemistry & Biological Chemistry,Nanyang Technological University,3200,3000,0.0573088,3167,63.9,3725,3427,3205,2018,77.6
1454,College of Sciences,Environmental Earth Systems Science ^,Nanyang Technological University,3440,3150,0.0573088,3440,57.1,3900,3389,3347,2018,76.2
1456,College of Sciences,Mathematics & Economics,Nanyang Technological University,3600,3200,0.0573088,3500,83.3,4000,3569,3481,2018,96.3
1457,College of Sciences,Physics & Applied Physics,Nanyang Technological University,3400,3025,0.0573088,3300,74.1,3800,3576,3468,2018,80.2
1458,National Institute of Education (NIE),Arts (With Education),Nanyang Technological University,3800,3600,0.0573088,3750,99.2,3806,3751,3618,2018,100
1459,National Institute of Education (NIE),Science (With Education),Nanyang Technological University,3800,3600,0.0573088,3800,100,4000,3738,3600,2018,100
1460,Sports Science and Management,Sport Science and Management,Nanyang Technological University,3300,3000,0.0573088,3200,61.1,3600,3382,3172,2018,87
1461,Lee Kong Chian School of Medicine,Medicine ##,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2018,na
1462,Faculty of Arts & Social Sciences,Bachelor of Arts,National University of Singapore,3200,2800,0.0573088,3070,56.6,3600,3322,3169,2018,83.7
1463,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3300,3000,0.0573088,3300,60.8,3600,3377,3290,2018,87.5
1464,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,National University of Singapore,3400,3200,0.0573088,3400,74.5,3800,3526,3459,2018,88.2
1465,Faculty of Dentistry,Bachelor of Dental Surgery,National University of Singapore,4050,4000,0.0573088,4050,100,4450,4228,4148,2018,100
1466,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),National University of Singapore,3389,3280,0.0573088,3300,69.8,3650,3444,3357,2018,79.4
1467,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),National University of Singapore,4000,3500,0.0573088,3700,84.1,4300,4050,3768,2018,89.9
1468,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),National University of Singapore,3500,3300,0.0573088,3500,89.8,3900,3627,3520,2018,91.8
1469,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3700,3400,0.0573088,3600,83.4,4546,3982,3712,2018,91
1470,Faculty of Engineering,Bachelor of Engineering (Engineering Science) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2018,na
1471,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3400,3000,0.0573088,3300,74.6,3868,3518,3411,2018,88.9
1472,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3895,3600,0.0573088,3800,87.8,4500,4051,3889,2018,91.5
1473,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),National University of Singapore,3600,3500,0.0573088,3600,86.4,4305,3794,3550,2018,88.6
1474,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3700,3300,0.0573088,3500,86.9,4100,3877,3684,2018,92.8
1475,Faculty of Law,Bachelor of Laws #,National University of Singapore,5500,4500,0.0573088,5000,92.6,5840,5263,5070,2018,97.3
1476,Faculty of Science,Bachelor of Science,National University of Singapore,3100,2900,0.0573088,3000,47.2,3850,3289,3146,2018,81.6
1477,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3400,3000,0.0573088,3300,72.8,3725,3460,3371,2018,87.3
1478,Faculty of Science,Bachelor of Science (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2018,na
1479,Faculty of Science,Bachelor of Science (Pharmacy) #,National University of Singapore,3650,3500,0.0573088,3500,93.2,3900,3723,3549,2018,96.6
1480,NUS Business School,Bachelor of Business Administration,National University of Singapore,3225,3000,0.0573088,3150,84.8,3750,3732,3633,2018,95.7
1481,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3895,3300,0.0573088,3800,90.9,4748,4424,4286,2018,96.6
1482,NUS Business School,Bachelor of Business Administration (Accountancy) ^,National University of Singapore,3020,2700,0.0573088,3000,95.2,3500,3522,3209,2018,95.2
1483,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,3200,3000,0.0573088,3100,95.3,4000,3683,3643,2018,97.6
1484,School of Computing,Bachelor of Computing (Communications and Media) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2018,na
1485,School of Computing,Bachelor of Computing (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2018,na
1486,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,4320,3900,0.0573088,4280,91.8,5000,4658,4577,2018,96.9
1487,School of Computing,Bachelor of Computing (Electronic Commerce) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2018,na
1488,School of Computing,Bachelor of Computing (Information Security) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2018,na
1489,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,4458,4000,0.0573088,4375,95.3,5000,4472,4338,2018,98.4
1490,School of Computing,Bachelor of Science (Business Analytics),National University of Singapore,4500,4000,0.0573088,4400,93.5,5000,4499,4432,2018,93.5
1491,School of Design & Environment,Bachelor of Arts (Architecture) # **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2018,na
1492,School of Design & Environment,Bachelor of Arts (Industrial Design),National University of Singapore,3250,3000,0.0573088,3200,69.6,3800,3371,3309,2018,87
1493,School of Design & Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3060,3000,0.0573088,3040,84.6,3300,3237,3189,2018,89
1494,School of Design & Environment,Bachelor of Science (Real Estate),National University of Singapore,3300,3000,0.0573088,3300,85.1,3600,3372,3295,2018,91.7
1495,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery # **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2018,na
1496,YLL School of Medicine,Bachelor of Science (Nursing),National University of Singapore,3450,3300,0.0573088,3250,94.6,3500,3469,3230,2018,94.6
1497,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),National University of Singapore,3550,3400,0.0573088,3350,98,3750,3546,3306,2018,98
1498,Yong Siew Toh Conservatory of Music,Bachelor of Music,National University of Singapore,1800,1500,0.0573088,1750,23.8,2700,2100,2000,2018,81
1499,Yale-NUS College,Bachelor of Arts with Honours,National University of Singapore,3630,3275,0.0573088,3600,81.1,4642,4381,4283,2018,90.5
1500,Yale-NUS College,Bachelor of Science with Honours ^,National University of Singapore,4800,3600,0.0573088,4800,78.9,6435,5136,5017,2018,89.5
1501,Multidisciplinary Programmes,Bachelor of Engineering (Computer Engineering),National University of Singapore,3975,3500,0.0573088,3800,84.3,4900,4188,4105,2018,88.6
1502,Multidisciplinary Programmes,Bachelor of Environmental Studies,National University of Singapore,3414,3000,0.0573088,3414,55.3,3600,3385,3371,2018,84.2
1503,DigiPen Institute of Technology,Bachelor of Arts in Game Design ^,Singapore Institute of Technology,3300,3196,0.0573088,3300,86.7,3500,3324,3277,2018,86.7
1504,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Art and Animation,Singapore Institute of Technology,2800,2600,0.0573088,2800,52.9,3000,2861,2854,2018,91.2
1505,DigiPen Institute of Technology,Bachelor of Science in Computer Science and Game Design ^,Singapore Institute of Technology,3600,3300,0.0573088,3600,89.5,4000,3576,3570,2018,94.7
1506,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,Singapore Institute of Technology,4016,3830,0.0573088,4000,96.8,4200,4088,4031,2018,96.8
1507,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,Singapore Institute of Technology,3300,3000,0.0573088,3100,76.9,3600,3451,3193,2018,84.6
1508,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,Singapore Institute of Technology,3343,3050,0.0573088,3300,81.8,3500,3438,3382,2018,94.5
1509,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,Singapore Institute of Technology,3250,3000,0.0573088,3250,94.3,3600,3439,3374,2018,97.1
1510,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering,Singapore Institute of Technology,3253,3100,0.0573088,3200,82.3,3600,3484,3343,2018,93.5
1511,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture ^,Singapore Institute of Technology,3400,3300,0.0573088,3300,100,3800,3479,3368,2018,100
1512,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering ^,Singapore Institute of Technology,3510,3100,0.0573088,3100,84.6,3850,3545,3245,2018,92.3
1513,Newcastle University,Bachelor of Science with Honours in Food and Human Nutrition,Singapore Institute of Technology,2900,2625,0.0573088,2800,69.2,3200,2895,2837,2018,90.4
1514,Singapore Institute of Technology (SIT),Bachelor of Accountancy with Honours,Singapore Institute of Technology,3075,3000,0.0573088,3050,91.5,3250,3216,3188,2018,96.3
1515,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Information & Communications Technology (Information Security) ^,Singapore Institute of Technology,4045,4000,0.0573088,4000,100,4400,4116,4111,2018,100
1516,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),Singapore Institute of Technology,4000,3600,0.0573088,4000,95.7,4300,3914,3838,2018,95.7
1517,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),Singapore Institute of Technology,3550,3400,0.0573088,3456,96.6,3800,3688,3618,2018,98.3
1518,Singapore Institute of Technology (SIT),Bachelor of Hospitality Business with Honours,Singapore Institute of Technology,2825,2600,0.0573088,2800,81.6,3175,2991,2898,2018,92.1
1519,SIT-University of Glasgow,Bachelor of Science with Honours in Nursing,Singapore Institute of Technology,3500,3350,0.0573088,3350,90.7,3800,3536,3260,2018,95.3
1520,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Diagnostic Radiography) ^,Singapore Institute of Technology,3350,3300,0.0573088,3300,87.5,3800,3571,3476,2018,95.8
1521,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,3460,3300,0.0573088,3450,96.6,3610,3431,3409,2018,96.6
1522,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Physiotherapy),Singapore Institute of Technology,3300,3000,0.0573088,3300,100,3600,3276,3258,2018,100
1523,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Radiation Therapy) **,Singapore Institute of Technology,na,na,0.0573088,na,na,na,na,na,2018,na
1524,Technische Universitt Mnchen,Bachelor of Science in Chemical Engineering,Singapore Institute of Technology,3200,3000,0.0573088,3000,75.5,3550,3298,3048,2018,83.7
1525,Technische Universitt Mnchen,Bachelor of Science in Electrical Engineering & Information Technology,Singapore Institute of Technology,3500,3300,0.0573088,3500,69.4,4000,3609,3506,2018,83.3
1526,The Culinary Institute of America,Bachelor of Business Administration in Food Business Management,Singapore Institute of Technology,2663,2415,0.0573088,2530,64.9,3300,2929,2643,2018,86.5
1527,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2950,2550,0.0573088,2850,54.7,3000,3055,2818,2018,84.9
1528,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2775,2500,0.0573088,2700,76.9,3000,2796,2710,2018,92.3
1529,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,Singapore Institute of Technology,3200,3000,0.0573088,3200,70.7,3500,3454,3440,2018,78
1530,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,Singapore Institute of Technology,3380,3025,0.0573088,3300,61.8,3875,3451,3412,2018,82.4
1531,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,Singapore Institute of Technology,3500,3100,0.0573088,3400,90.6,4000,3718,3587,2018,94.3
1532,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,Singapore Institute of Technology,3600,3275,0.0573088,3500,87.3,4298,3812,3633,2018,93.7
1533,University of Glasgow,Bachelor of Science with Honours in Computing Science,Singapore Institute of Technology,4000,3500,0.0573088,3929,89.3,4225,3996,3926,2018,94.7
1534,University of Liverpool,Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,3729,3260,0.0573088,3500,74.2,4100,3726,3645,2018,91.9
1535,Wheelock College,Bachelor of Science in Early Childhood Education,Singapore Institute of Technology,2925,2800,0.0573088,2925,98.2,3100,2911,2897,2018,100
1536,School of Accountancy (4-year programme) *,Accountancy,Singapore Management University,3000,3000,0.0573088,3000,92.3,3650,3607,3576,2018,96.4
1537,School of Accountancy (4-year programme) *,Accountancy (Cum Laude and above),Singapore Management University,3550,3013,0.0573088,3450,95.1,4773,4439,4396,2018,96.3
1538,School of Business (4-year programme) *,Business Management,Singapore Management University,3700,3250,0.0573088,3600,86.5,4500,4133,4017,2018,91.6
1539,School of Business (4-year programme) *,Business Management (Cum Laude and above),Singapore Management University,4000,3500,0.0573088,4000,95.6,4800,4544,4433,2018,97.4
1540,School of Economics (4-year programme) *,Economics,Singapore Management University,3700,3200,0.0573088,3500,85.6,4600,4140,4017,2018,91.1
1541,School of Economics (4-year programme) *,Economics (Cum Laude and above),Singapore Management University,4000,3500,0.0573088,4000,89.5,5200,4721,4599,2018,93.4
1542,School of Information Systems (4-year programme) *,Information Systems,Singapore Management University,4000,3600,0.0573088,4000,89.5,4600,4160,4058,2018,93.6
1543,School of Information Systems (4-year programme) *,Information Systems (Cum Laude and above),Singapore Management University,4685,4200,0.0573088,4650,97.2,5000,4659,4584,2018,100
1544,School of Social Sciences (4-year programme) *,Social Sciences,Singapore Management University,3210,3000,0.0573088,3200,74.4,3710,3409,3336,2018,85.6
1545,School of Social Sciences (4-year programme) *,Social Sciences (Cum Laude and above),Singapore Management University,3600,3200,0.0573088,3550,78.9,4100,3880,3818,2018,84.2
1546,School of Law (4-year programme) *,Law #,Singapore Management University,4500,4050,0.0573088,4500,90.8,5600,4856,4704,2018,92.7
1547,School of Law (4-year programme) *,Law (Cum Laude and above) #,Singapore Management University,5513,4500,0.0573088,4750,92.6,6000,5256,4986,2018,94.4
1548,School of Business,Bachelor of Accountancy,Singapore University of Social Sciences,3000,2700,0.0573088,2850,97.5,3000,2879,2858,2018,98.7
1549,School of Business,Bachelor of Science in Finance,Singapore University of Social Sciences,3400,3200,0.0573088,3400,84,3500,3393,3364,2018,88
1550,School of Business,Bachelor of Science in Marketing,Singapore University of Social Sciences,3000,2650,0.0573088,3000,84,3245,3023,2925,2018,94
1551,na,Bachelor of Engineering (Engineering Product Development),Singapore University of Technology and Design,3700,3500,0.0573088,3700,86.3,4000,3826,3773,2018,94.7
1552,na,Bachelor of Engineering (Information Systems Technology and Design),Singapore University of Technology and Design,4400,4000,0.0573088,4300,93.3,5000,4544,4448,2018,97.3
1553,na,Bachelor of Engineering (Engineering Systems and Design),Singapore University of Technology and Design,3800,3600,0.0573088,3800,90,4000,3893,3798,2018,90
1554,na,Bachelor of Science (Architecture and Sustainable Design) #,Singapore University of Technology and Design,4000,3600,0.0573088,3900,88.5,4215,3945,3848,2018,95.1
709,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,4000,3200,0.0573088,4000,95.2,4600,4359,4284,2019,97.9
710,College of Business (Nanyang Business School),Business,Nanyang Technological University,3600,3200,0.0573088,3500,83.1,4000,3797,3707,2019,93.8
711,College of Business (Nanyang Business School),Business and Computing ^,Nanyang Technological University,4833,3600,0.0573088,4833,83.3,5000,4562,4479,2019,94.4
712,College of Engineering,Aerospace Engineering,Nanyang Technological University,3800,3500,0.0573088,3700,80.7,4600,3939,3816,2019,87.5
713,College of Engineering,Aerospace Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2019,na
714,College of Engineering,Bioengineering,Nanyang Technological University,3500,3200,0.0573088,3400,64.1,3700,3548,3445,2019,81.3
715,College of Engineering,Business and Computer Engineering **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2019,na
716,College of Engineering,Chemical and Biomolecular Engineering,Nanyang Technological University,3800,3500,0.0573088,3600,78.1,4300,3921,3681,2019,88.6
717,College of Engineering,Chemical and Biomolecular Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2019,na
718,College of Engineering,Civil Engineering,Nanyang Technological University,3500,3300,0.0573088,3400,90.6,3900,3582,3525,2019,94.9
719,College of Engineering,Civil Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2019,na
720,College of Engineering,Computer Engineering,Nanyang Technological University,4000,3600,0.0573088,4000,94.6,4500,4074,3994,2019,94.6
721,College of Engineering,Computer Science,Nanyang Technological University,4200,3800,0.0573088,4050,95.9,4900,4309,4270,2019,97.4
722,College of Engineering,Electrical and Electronic Engineering,Nanyang Technological University,3700,3500,0.0573088,3700,87.1,4000,3884,3769,2019,92.6
723,College of Engineering,Environmental Engineering,Nanyang Technological University,3510,3400,0.0573088,3500,77.4,3800,3596,3574,2019,83.9
724,College of Engineering,Environmental Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2019,na
725,College of Engineering,Information Engineering and Media,Nanyang Technological University,4000,3600,0.0573088,3970,85.3,4350,4006,3934,2019,90.7
726,College of Engineering,Maritime Studies,Nanyang Technological University,3500,3300,0.0573088,3400,93.2,3700,3669,3512,2019,98.3
727,College of Engineering,Materials Engineering,Nanyang Technological University,3600,3300,0.0573088,3500,76,4175,3817,3601,2019,82
728,College of Engineering,Materials Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2019,na
729,College of Engineering,Mechanical Engineering,Nanyang Technological University,3600,3380,0.0573088,3500,82.1,4005,3728,3608,2019,84.5
730,College of Engineering,Mechanical Engineering and Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2019,na
731,"College of Humanities, Arts & Social Sciences","Art, Design & Media",Nanyang Technological University,3000,2800,0.0573088,3000,50.9,3500,3068,3031,2019,83.6
732,"College of Humanities, Arts & Social Sciences",Chinese,Nanyang Technological University,3210,2980,0.0573088,3150,79,3500,3260,3158,2019,90.1
733,"College of Humanities, Arts & Social Sciences",Communication Studies,Nanyang Technological University,3200,2800,0.0573088,3200,69.4,3500,3264,3220,2019,90.4
734,"College of Humanities, Arts & Social Sciences",Economics,Nanyang Technological University,3400,3050,0.0573088,3300,79.8,3600,3453,3385,2019,88.2
735,"College of Humanities, Arts & Social Sciences",English,Nanyang Technological University,3000,2565,0.0573088,3000,64.9,3500,2997,2987,2019,83.8
736,"College of Humanities, Arts & Social Sciences",History,Nanyang Technological University,3500,3200,0.0573088,3500,56.8,3800,3498,3449,2019,73
737,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,Nanyang Technological University,3200,3000,0.0573088,3160,65,3740,3365,3265,2019,81.7
776,School of Computing,Bachelor of Computing (Electronic Commerce) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2019,na
738,"College of Humanities, Arts & Social Sciences",Philosophy ^,Nanyang Technological University,3500,3300,0.0573088,3300,69.6,3584,3369,3288,2019,82.6
739,"College of Humanities, Arts & Social Sciences",Psychology,Nanyang Technological University,3400,3100,0.0573088,3350,73.1,3800,3506,3463,2019,89.2
740,"College of Humanities, Arts & Social Sciences",Public Policy And Global Affairs,Nanyang Technological University,3850,3500,0.0573088,3691,87.8,4345,3868,3756,2019,90.2
741,"College of Humanities, Arts & Social Sciences",Sociology,Nanyang Technological University,3300,3040,0.0573088,3200,70.5,3600,3441,3305,2019,86.9
742,College of Sciences,Biological Sciences,Nanyang Technological University,3300,3100,0.0573088,3300,66.3,3600,3450,3315,2019,81.6
743,College of Sciences,Biomedical Sciences & Chinese Medicine # ^,Nanyang Technological University,3000,2780,0.0573088,3000,85.7,3200,2979,2964,2019,95.2
744,College of Sciences,Chemistry & Biological Chemistry,Nanyang Technological University,3400,3000,0.0573088,3200,66.2,3600,3338,3246,2019,80.9
745,College of Sciences,Environmental Earth Systems Sciences ^,Nanyang Technological University,3500,3200,0.0573088,3500,79.2,3500,3416,3401,2019,87.5
746,College of Sciences,Mathematical Sciences,Nanyang Technological University,3599,3215,0.0573088,3549,79.6,4070,3848,3741,2019,91.2
747,College of Sciences,Mathematics & Economics,Nanyang Technological University,3700,3400,0.0573088,3570,84.8,4167,3996,3838,2019,93.5
748,College of Sciences,Physics & Applied Physics,Nanyang Technological University,3500,3300,0.0573088,3500,78.6,4200,3849,3782,2019,90
749,Sports Science and Management,Sports Science and Management,Nanyang Technological University,3350,3000,0.0573088,3200,55.6,3660,3438,3289,2019,87
750,National Institute of Education (NIE),Arts (with Education),Nanyang Technological University,3800,3600,0.0573088,3800,100,3806,3710,3629,2019,100
751,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3800,3660,0.0573088,3800,100,3840,3758,3719,2019,100
752,Lee Kong Chian School of Medicine,Medicine #,Nanyang Technological University,5700,5200,0.0573088,4700,100,6092,5661,4932,2019,100
753,Faculty of Arts & Social Sciences,Bachelor of Arts,National University of Singapore,3200,2800,0.0573088,3000,64.5,3700,3456,3225,2019,84.9
754,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3500,3250,0.0573088,3500,68.2,3800,3537,3421,2019,92.7
